filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
B71example0.fast5	9f287d5c-18bf-45d1-8ecb-16e048f8c5e0	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	23	3	62015.730750	93.927000	75141	TRUE	62015.757000	75120	93.900750	27846	15.369549	2.874443	76.848053	9.847805	76.848053	9.847805
B71example0.fast5	a0703d2b-ca90-4d4b-a0b2-0dd988d4621f	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	315	1	88701.875500	133.457000	106765	TRUE	88702.073000	106607	133.259500	43483	15.331355	2.955111	75.089516	9.671952	75.089516	9.671952
B71example0.fast5	e8921d47-8163-4aba-a205-03cb409e69ae	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	55	4	33034.745500	57.684250	46147	TRUE	33034.828000	46081	57.601750	18803	11.732522	2.874647	73.506836	9.320245	73.506836	9.320245
B71example0.fast5	e9ace0dd-20a6-4c95-9b7d-8877980347bc	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	130	2	10983.433000	10.956000	8764	TRUE	10983.506750	8705	10.882250	3711	16.334940	3.022844	77.551468	9.496099	77.551468	9.496099
B71example0.fast5	a5faaccf-f9b7-4706-b1bf-b91da7be64cb	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	421	3	92327.550500	31.181000	24944	TRUE	92327.586750	24915	31.144750	12692	9.711108	3.005198	85.289032	9.847805	85.289032	9.847805
B71example0.fast5	b7483a15-7c35-4dd1-97b4-bb30609f76c7	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	299	2	1120.920250	21.292000	17033	TRUE	1121.057750	16923	21.154500	7962	13.887233	3.082765	76.672203	9.496099	76.672203	9.496099
B71example0.fast5	c53c0247-ccba-4d88-90d5-a901918512a6	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	30	2	44763.433500	90.998000	72798	TRUE	44763.492250	72751	90.939250	30222	13.554322	2.953091	76.672203	9.671952	76.672203	9.671952
B71example0.fast5	eb141b22-39fc-4439-9665-ac958b7c0f8b	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	163	1	12718.644000	85.033250	68026	TRUE	12718.801500	67900	84.875750	32090	13.448379	3.080950	77.199760	9.847805	77.199760	9.847805
B71example0.fast5	aa5e19c7-7936-4582-beda-ef72347b83d9	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	201	2	57190.520000	180.304750	144243	TRUE	57190.722500	144081	180.102250	65387	12.382320	3.015681	82.123665	10.199512	82.123665	10.199512
B71example0.fast5	e396707c-44a9-4e54-923b-8ff1f832d473	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	365	3	29220.204250	116.378250	93102	TRUE	29220.283000	93039	116.299500	43561	15.074610	3.082394	77.727325	10.023659	77.727325	10.023659
